donor,recipient,donated_amount
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,India,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
